al,NAD83:101
ak,NAD83:5010
az,NAD83:202
ar,NAD83:301
ca,NAD83:401
co,NAD83:502
ct,NAD83:600
de,NAD83:700
fl,NAD83:901
ga,NAD83:1001
hi,NAD83:5101
id,NAD83:1102
il,NAD83:1201
in,NAD83:1301
ia,NAD83:1401
ks,NAD83:1501
ky,NAD83:1601
la,NAD83:1702
me,NAD83:1801
md,NAD83:1900
ma,NAD83:2001
mi,NAD83:2111
mn,NAD83:2202
ms,NAD83:2301
mo,NAD83:2402
mt,NAD83:2500
ne,NAD83:2600
nv,NAD83:2702
nh,NAD83:2800
nj,NAD83:2900
nm,NAD83:3002
ny,NAD83:3102
nc,NAD83:3200
nd,NAD83:3301
oh,NAD83:3401
ok,NAD83:3501
or,NAD83:3601
pa,NAD83:3701
ri,NAD83:3800
sc,NAD83:3900
sd,NAD83:4001
tn,NAD83:4100
tx,NAD83:4203
ut,NAD83:4302
vt,NAD83:4400
va,NAD83:4501
wa,NAD83:4601
wv,NAD83:4701
wi,NAD83:4802
wy,NAD83:4902
pr,NAD83:5200
vi,NAD83:5200
